Package,Test Type,Samples,Source Facility,Hub,Final Destination,Region,Picked By,Event Source,Event Destination,Event Date,Event By,Event Status,Date Picked From Facilty,Date Delivered,Date Received At Final Destination
L2403171535,VL PLASMA,6,SEETA NAZIGO H/C III,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:20,13/11/2024 07:35,\N
L2403171538,VL PLASMA,15,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:26,13/11/2024 07:35,\N
L2403171543,VL PLASMA,1,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:28,\N,13/11/2024 01:11
L2403171530,VL DBS,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:15,13/11/2024 07:35,13/11/2024 15:11
L2403171526,VL DBS,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:15,13/11/2024 07:35,\N
L2403171531,VL DBS,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:15,13/11/2024 07:35,\N
L2403171540,VL PLASMA,1,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:30,13/11/2024 07:35,\N
L2403171533,VL PLASMA,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:09,\N,12/11/2024 21:11
L2403171529,VL PLASMA,1,Kyampisi H/C III,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:06,\N,13/11/2024 01:11
L2403171528,VL PLASMA,1,Goma H/C II,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:07,13/11/2024 07:35,13/11/2024 15:11
L2403171525,VL PLASMA,1,Mukono C.O.U Hospital,Mukono General Hospital,UNHLS,\N,GODFREY KASOMA,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 13:19,\N,13/11/2024 11:11
L2403171535,VL PLASMA,6,SEETA NAZIGO H/C III,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:20,13/11/2024 07:35,\N
L2403171538,VL PLASMA,15,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:26,13/11/2024 07:35,\N
L2403171543,VL PLASMA,1,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:28,\N,13/11/2024 01:11
L2403171530,VL DBS,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:15,13/11/2024 07:35,13/11/2024 15:11
L2403171526,VL DBS,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:15,13/11/2024 07:35,\N
L2403171534,VL PLASMA,2,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:09,13/11/2024 07:35,\N
L2403171531,VL DBS,1,Mukono General Hospital,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:15,13/11/2024 07:35,\N
L2403171540,VL PLASMA,1,Kyetume Community Based H/C III (Mukono),Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:30,13/11/2024 07:35,\N
L2403171527,VL DBS,3,katoogo H/C III,Mukono General Hospital,UNHLS,\N,WANDERA WYCLIFFE,Mukono General Hospital,Mukono General Hospital,11/11/2024 17:03,PROSSY NANTALE,Received,08/11/2024 17:16,13/11/2024 07:35,\N
